movie_id,title,release_year,runtime_minutes,genres
tt0405325,Sky High,2005,100,"Action,Comedy,Family"
tt1204342,The Muppets,2011,103,"Adventure,Comedy,Family"
tt0423294,Surf's Up,2007,85,"Adventure,Animation,Comedy"
tt3063516,Jackass Presents: Bad Grandpa,2013,92,Comedy
tt1440292,Submarine,2010,97,"Comedy,Drama,Romance"
tt32376165,A House of Dynamite,2025,112,"Drama,Thriller"
tt0107822,The Piano,1993,121,"Drama,Music,Romance"
tt0356470,A Cinderella Story,2004,95,"Comedy,Family,Romance"
tt6878306,News of the World,2020,118,"Action,Adventure,Drama"
tt13375076,The Pope's Exorcist,2023,103,"Horror,Thriller"
tt0285531,Dreamcatcher,2003,134,"Drama,Horror,Sci-Fi"
tt2679042,Hitman: Agent 47,2015,96,"Action,Adventure,Crime"
tt0364970,Babylon A.D.,2008,90,"Action,Adventure,Sci-Fi"
tt0364045,Taking Lives,2004,103,"Crime,Mystery,Thriller"
tt0087277,Footloose,1984,107,"Drama,Music,Romance"
tt0044741,Ikiru,1952,143,Drama
tt1540133,The Guard,2011,96,"Comedy,Crime,Thriller"
tt0408839,The Heartbreak Kid,2007,116,"Comedy,Romance"
tt0457510,Nacho Libre,2006,92,"Comedy,Family,Sport"
tt8695030,The Dead Don't Die,2019,104,"Comedy,Fantasy,Horror"
tt0119099,Fallen,1998,124,"Action,Crime,Drama"
tt2172934,3 Days to Kill,2014,117,"Action,Drama,Thriller"
tt0499556,War,2007,103,"Action,Thriller"
tt0105698,Universal Soldier,1992,102,"Action,Sci-Fi"
tt0120679,Frida,2002,123,"Biography,Drama,Romance"
tt0280707,Gosford Park,2001,137,"Comedy,Drama,Mystery"
tt0098258,Say Anything,1989,100,"Comedy,Drama,Romance"
tt0085333,Christine,1983,110,"Horror,Thriller"
tt1293847,xXx: Return of Xander Cage,2017,107,"Action,Adventure,Thriller"
tt2347569,Frances Ha,2012,86,"Comedy,Drama,Romance"
tt0498353,Hostel: Part II,2007,94,Horror
tt3348730,Jigsaw,2017,92,"Horror,Mystery,Thriller"
tt1242432,I Spit on Your Grave,2010,108,"Horror,Thriller"
tt0105690,Under Siege,1992,103,"Action,Thriller"
tt1051904,Goosebumps,2015,103,"Adventure,Comedy,Fantasy"
tt0079945,Star Trek: The Motion Picture,1979,143,"Adventure,Mystery,Sci-Fi"
tt0464154,Piranha 3D,2010,88,"Comedy,Horror"
tt1470827,Monsters,2010,94,"Adventure,Drama,Romance"
tt1216487,The Girl Who Played with Fire,2009,129,"Action,Crime,Drama"
tt8364368,Crawl,2019,87,"Action,Horror,Thriller"
tt3522806,Mechanic: Resurrection,2016,98,"Action,Adventure,Thriller"
tt0252076,Maid in Manhattan,2002,105,"Comedy,Drama,Romance"
tt0116365,The Frighteners,1996,110,"Comedy,Drama,Fantasy"
tt21235248,Ghostbusters: Frozen Empire,2024,115,"Adventure,Comedy,Fantasy"
tt0092675,Bloodsport,1988,92,"Action,Biography,Drama"
tt5884796,Plane,2023,107,"Action,Adventure,Thriller"
tt3799232,The Kissing Booth,2018,105,"Comedy,Romance"
tt0479997,Season of the Witch,2011,95,"Action,Adventure,Fantasy"
tt1078588,My Sister's Keeper,2009,109,"Drama,Family"
tt0151738,Never Been Kissed,1999,107,"Comedy,Drama,Romance"
tt0490204,Reign Over Me,2007,124,Drama
tt1230414,It's Complicated,2009,120,"Comedy,Drama,Romance"
tt0406816,The Guardian,2006,139,"Adventure,Drama"
tt0095631,Midnight Run,1988,126,"Action,Comedy,Crime"
tt0048545,Rebel Without a Cause,1955,111,Drama
tt0150377,Double Jeopardy,1999,105,"Crime,Drama,Mystery"
tt0049730,The Searchers,1956,119,"Adventure,Western"
tt0092563,Angel Heart,1987,113,"Horror,Mystery,Thriller"
tt0107798,The Pelican Brief,1993,141,"Crime,Drama,Mystery"
tt0164334,Along Came a Spider,2001,104,"Crime,Drama,Mystery"
tt10618286,Mank,2020,131,"Biography,Drama"
tt2382009,Nymphomaniac: Vol. II,2013,124,Drama
tt1045772,I Love You Phillip Morris,2009,98,"Biography,Comedy,Crime"
tt1226273,Edge of Darkness,2010,117,"Action,Adventure,Drama"
tt7550000,Project Power,2020,113,"Action,Crime,Sci-Fi"
tt0165798,Ghost Dog: The Way of the Samurai,1999,116,"Crime,Drama"
tt5113044,Minions: The Rise of Gru,2022,87,"Adventure,Animation,Comedy"
tt11003218,Pig,2021,92,"Drama,Mystery"
tt0107144,Hot Shots! Part Deux,1993,86,"Action,Comedy"
tt0492956,The Game Plan,2007,110,"Comedy,Family,Sport"
tt0088939,The Color Purple,1985,154,Drama
tt1592525,Lockout,2012,95,"Action,Sci-Fi,Thriller"
tt0363589,Elephant,2003,81,"Crime,Drama,Thriller"
tt0472181,The Smurfs,2011,103,"Adventure,Animation,Comedy"
tt1412386,The Best Exotic Marigold Hotel,2011,124,"Comedy,Drama,Romance"
tt0952640,Alvin and the Chipmunks,2007,92,"Adventure,Animation,Comedy"
tt0383028,"Synecdoche, New York",2008,124,Drama
tt0963178,The International,2009,118,"Action,Crime,Drama"
tt1034415,Suspiria,2018,152,"Drama,Fantasy,Horror"
tt1549572,Another Earth,2011,92,"Drama,Romance,Sci-Fi"
tt12758060,Tetris,2023,118,"Biography,Drama,History"
tt6924650,Midway,2019,138,"Action,Drama,History"
tt1778304,Paranormal Activity 3,2011,83,"Horror,Mystery,Thriller"
tt0114694,Tommy Boy,1995,97,"Adventure,Comedy"
tt0099371,Days of Thunder,1990,107,"Action,Drama,Sport"
tt0070917,The Wicker Man,1973,88,"Horror,Mystery,Thriller"
tt0117666,Sling Blade,1996,135,Drama
tt0837563,Pet Sematary,2019,100,"Horror,Mystery,Thriller"
tt0105812,White Men Can't Jump,1992,115,"Comedy,Sport"
tt4003440,The House That Jack Built,2018,152,"Crime,Drama,Horror"
tt0069293,Solaris,1972,167,"Adventure,Drama,Mystery"
tt1126590,Big Eyes,2014,106,"Biography,Crime,Drama"
tt32246771,Bring Her Back,2025,104,"Horror,Mystery"
tt0357277,Elektra,2005,97,"Action,Adventure,Crime"
tt3322364,Concussion,2015,123,"Biography,Drama,Sport"
tt0119229,Grosse Pointe Blank,1997,107,"Action,Comedy,Crime"
tt12261776,65,2023,93,"Action,Adventure,Sci-Fi"
tt0418819,Land of the Dead,2005,93,"Horror,Sci-Fi,Thriller"
tt0808417,Persepolis,2007,96,"Animation,Biography,Drama"
tt0433383,"Good Night, and Good Luck.",2005,93,"Biography,Drama,History"
tt0069704,American Graffiti,1973,110,"Comedy,Drama"
tt0049406,The Killing,1956,84,"Crime,Drama,Film-Noir"
tt0090305,Weird Science,1985,94,"Comedy,Romance,Sci-Fi"
tt4287320,The Circle,2017,110,"Drama,Mystery,Sci-Fi"
tt8623904,Last Christmas,2019,103,"Comedy,Drama,Fantasy"
tt0120780,Out of Sight,1998,123,"Comedy,Crime,Drama"
tt1195478,The Five-Year Engagement,2012,124,"Comedy,Drama,Romance"
tt2358891,The Great Beauty,2013,141,Drama
tt1212428,The Lost City of Z,2016,141,"Adventure,Biography,Drama"
tt11145118,Creed III,2023,116,"Action,Drama,Sport"
tt0117318,The People vs. Larry Flynt,1996,130,"Biography,Drama"
tt6292852,I Am Mother,2019,113,"Drama,Mystery,Sci-Fi"
tt0017925,The General,1926,78,"Action,Adventure,Comedy"
tt0367110,Swades,2004,189,"Drama,Musical"
tt0138524,Intolerable Cruelty,2003,100,"Comedy,Crime,Romance"
tt0817177,Flipped,2010,90,"Comedy,Drama,Romance"
tt0377109,The Ring Two,2005,110,"Horror,Mystery"
tt0116136,DragonHeart,1996,103,"Action,Adventure,Fantasy"
tt8629748,Spenser Confidential,2020,111,"Action,Comedy,Crime"
tt3513548,Richard Jewell,2019,131,"Biography,Crime,Drama"
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112,"Action,Adventure,Comedy"
tt0120791,Practical Magic,1998,104,"Comedy,Drama,Fantasy"
tt10304142,Amsterdam,2022,134,"Comedy,Drama,History"
tt0816462,Conan the Barbarian,2011,113,"Action,Adventure,Fantasy"
tt0322802,Jackass: The Movie,2002,85,"Action,Comedy,Documentary"
tt0960731,Bedtime Stories,2008,99,"Adventure,Comedy,Family"
tt4139588,Polar,2019,118,"Action,Crime,Thriller"
tt1161864,The Rite,2011,114,"Drama,Horror,Mystery"
tt5478478,Hostiles,2017,134,"Drama,Western"
tt0095489,The Land Before Time,1988,69,"Adventure,Animation,Drama"
tt7456310,Anna,2019,118,"Action,Thriller"
tt0395699,The Pacifier,2005,95,"Action,Comedy,Drama"
tt1083452,Eddie the Eagle,2015,106,"Adventure,Biography,Comedy"
tt0250797,Unfaithful,2002,124,"Drama,Romance,Thriller"
tt1017460,Splice,2009,104,"Horror,Sci-Fi"
tt0118928,Dante's Peak,1997,108,"Action,Adventure,Thriller"
tt1440728,The American,2010,105,"Crime,Drama,Thriller"
tt0101761,The Doors,1991,140,"Biography,Drama,Music"
tt0401445,A Good Year,2006,117,"Comedy,Drama,Romance"
tt1502404,Drive Angry,2011,104,"Action,Comedy,Fantasy"
tt0048424,The Night of the Hunter,1955,92,"Crime,Drama,Film-Noir"
tt1666801,The DUFF,2015,101,"Comedy,Romance"
tt4430212,Drishyam,2015,163,"Crime,Drama,Mystery"
tt0064757,On Her Majesty's Secret Service,1969,142,"Action,Adventure,Thriller"
tt2274648,Hellboy,2019,120,"Action,Adventure,Fantasy"
tt0404390,Running Scared,2006,122,"Action,Crime,Drama"
tt0328538,Thirteen,2003,100,Drama
tt3544112,Sing Street,2016,106,"Comedy,Drama,Music"
tt2357129,Jobs,2013,128,"Biography,Drama"
tt5774060,Underwater,2020,95,"Action,Horror,Sci-Fi"
tt1235166,A Prophet,2009,155,"Crime,Drama"
tt0058385,My Fair Lady,1964,170,"Drama,Family,Musical"
tt0118998,Doctor Dolittle,1998,85,"Comedy,Family,Fantasy"
tt2431286,Philomena,2013,98,"Biography,Comedy,Drama"
tt0174856,The Hurricane,1999,146,"Biography,Drama,Sport"
tt1020530,Eden Lake,2008,91,"Horror,Thriller"
tt2592614,Resident Evil: The Final Chapter,2016,107,"Action,Horror,Sci-Fi"
tt10886166,365 Days,2020,114,"Drama,Romance"
tt0086200,Risky Business,1983,99,"Comedy,Crime,Drama"
