movie_id,person_id,role,character
tt0012349,nm0000122,actor,"[""A Tramp""]"
tt0012349,nm0701012,actress,"[""The Woman""]"
tt0012349,nm0001067,actor,"[""The Child""]"
tt0012349,nm0588033,actor,"[""The Man""]"
tt0012349,nm0042317,actor,"[""Car Thief""]"
tt0012349,nm0042317,actor,"[""Man in Shelter""]"
tt0012349,nm0047800,actress,"[""Bride""]"
tt0012349,nm0048798,actress,"[""Slum Nurse""]"
tt0012349,nm0074788,actor,"[""Professor Guido""]"
tt0012349,nm0074788,actor,"[""Night Shelter Keeper""]"
tt0012349,nm0080930,actor,"[""Orphan Asylum Driver""]"
tt0012349,nm0088471,actor,"[""His Assistant""]"
tt0012349,nm0000122,director,
tt0012349,nm0000122,writer,
tt0012349,nm0000122,producer,
tt0012349,nm0000122,composer,
tt0013442,nm0775180,actor,"[""Graf Orlok""]"
tt0013442,nm0334603,actor,"[""Knock - ein Häusermakler""]"
tt0013442,nm0903194,actor,"[""Hutter""]"
tt0013442,nm0775659,actress,"[""Ellen - seine Frau""]"
tt0013442,nm0774114,actor,"[""Harding - ein Reeder""]"
tt0013442,nm0485146,actress,"[""Ruth - seine Schwester""]"
tt0013442,nm0098774,actor,"[""Professor Sievers - der Stadtarzt""]"
tt0013442,nm0332024,actor,"[""Professor Bulwer - ein Paracelsianer""]"
tt0013442,nm0625947,actor,"[""Ein Kapitän""]"
tt0013442,nm0374594,actor,"[""1. Matrose""]"
tt0013442,nm0003638,director,
tt0013442,nm0831290,writer,
tt0013442,nm0301961,writer,
tt0013442,nm0225868,producer,
tt0013442,nm0336057,producer,
tt0013442,nm0005959,composer,
tt0013442,nm0002302,composer,
tt0013442,nm0923118,composer,
tt0013442,nm0258762,composer,
tt0013442,nm0005922,cinematographer,
tt0015864,nm0000122,actor,"[""The Lone Prospector""]"
tt0015864,nm0841501,actor,"[""Big Jim McKay""]"
tt0015864,nm0615306,actor,"[""Black Larsen""]"
tt0015864,nm0074788,actor,"[""Hank Curtis""]"
tt0015864,nm0906618,actor,"[""Jack Cameron""]"
tt0015864,nm0354913,actress,"[""Georgia""]"
tt0015864,nm1033900,actor,"[""Man in Dance Hall""]"
tt0015864,nm1027682,actor,"[""Eskimo Child""]"
tt0015864,nm1027683,actress,"[""Eskimo Child""]"
tt0015864,nm0012447,actress,"[""Woman in Dance Hall""]"
tt0015864,nm0000122,director,
tt0015864,nm0000122,writer,
tt0015864,nm0000122,composer,
tt0015864,nm0675356,composer,
tt0015864,nm0005906,cinematographer,
tt0017136,nm0375609,actress,"[""Maria""]"
tt0017136,nm0375609,actress,"[""Maschinenmensch""]"
tt0017136,nm0375609,actress,"[""The Machine Man""]"
tt0017136,nm0002154,actor,"[""Johann (Joh) Fredersen""]"
tt0017136,nm0297054,actor,"[""Freder Fredersen - Joh Fredersens Sohn""]"
tt0017136,nm0459030,actor,"[""Erfinder C.A. Rotwang""]"
tt0017136,nm0459030,actor,"[""The Inventor""]"
tt0017136,nm0003248,actor,"[""Der Schmale""]"
tt0017136,nm0003248,actor,"[""The Thin Man""]"
tt0017136,nm0519765,actor,"[""Josaphat""]"
tt0017136,nm0519765,actor,"[""Joseph""]"
tt0017136,nm0084430,actor,"[""11811 - Georgy""]"
tt0017136,nm0313447,actor,"[""Grot -Wärter der Herzmaschine""]"
tt0017136,nm0313447,actor,"[""Guardian of the Heart Machine""]"
tt0017136,nm0016641,actor,"[""Schöpferischer Mensch""]"
tt0017136,nm0016641,actor,"[""Creative Human""]"
tt0017136,nm0074186,actress,"[""Arbeiterin""]"
tt0017136,nm0074186,actress,"[""Working Woman""]"
tt0017136,nm0000485,director,
tt0017136,nm0902376,writer,
tt0017136,nm0690143,producer,
tt0017136,nm3017782,composer,
tt0017136,nm0923118,composer,
tt0017136,nm2111404,composer,
tt0017136,nm0403288,composer,
tt0017136,nm0005713,cinematographer,
tt0017136,nm0005844,cinematographer,
tt0017136,nm0752193,cinematographer,
tt0017925,nm0000036,actor,"[""Johnnie Gray""]"
tt0017925,nm0533045,actress,"[""Annabelle Lee""]"
tt0017925,nm0147070,actor,"[""Captain Anderson""]"
tt0017925,nm0267650,actor,"[""General Thatcher""]"
tt0017925,nm0089162,actor,"[""A Southern General""]"
tt0017925,nm1070961,actor,"[""Her Brother""]"
tt0017925,nm0807667,actor,"[""Her Father""]"
tt0017925,nm0444172,actor,"[""Union General""]"
tt0017925,nm0232592,actor,"[""Union General""]"
tt0017925,nm0623189,actor,"[""Union General""]"
tt0017925,nm0115669,director,
tt0017925,nm0000036,director,
tt0017925,nm0000036,writer,
tt0017925,nm0115669,writer,
tt0017925,nm0090213,writer,
tt0017925,nm0807667,writer,
tt0017925,nm1193626,composer,
tt0017925,nm0002301,composer,
tt0017925,nm0004592,composer,
tt0017925,nm0354229,cinematographer,
tt0017925,nm0222354,cinematographer,
tt0021749,nm0000122,actor,"[""A Tramp""]"
tt0021749,nm0156039,actress,"[""A Blind Girl""]"
tt0021749,nm5681967,actress,"[""The Blind Girl's Grandmother""]"
tt0021749,nm0616729,actor,"[""An Eccentric Millionaire""]"
tt0021749,nm0305087,actor,"[""The Millionaire's Butler""]"
tt0021749,nm0003424,actor,"[""A Prizefighter""]"
tt0021749,nm0008609,actor,"[""Newsboy""]"
tt0021749,nm1033905,actor,"[""Boxing Match Spectator""]"
tt0021749,nm1035024,actor,"[""Doctor""]"
tt0021749,nm1033907,actor,"[""Superstitious Boxer""]"
tt0021749,nm0000122,director,
tt0021749,nm0000122,writer,
tt0021749,nm0000122,composer,
tt0021749,nm0689661,cinematographer,
tt0021749,nm0005906,cinematographer,
tt0022100,nm0000048,actor,"[""Hans Beckert""]"
tt0022100,nm0927145,actress,"[""Frau Beckmann""]"
tt0022100,nm0484737,actress,"[""Elsie Beckmann""]"
tt0022100,nm0921532,actor,"[""Inspector Karl Lohmann""]"
tt0022100,nm0519765,actor,"[""Inspector Groeber""]"
tt0022100,nm0345073,actor,"[""Schränker""]"
tt0022100,nm0323479,actor,"[""Franz""]"
tt0022100,nm0643997,actor,"[""The Cheater""]"
tt0022100,nm0447349,actor,"[""Pickpocket with Six Watches""]"
tt0022100,nm0003586,actor,"[""Bauernfänger""]"
tt0022100,nm0000485,director,
tt0022100,nm0902376,writer,
tt0022100,nm0000485,writer,
tt0022100,nm0005922,cinematographer,
tt0022100,nm0266239,editor,
tt0025316,nm0000022,actor,"[""Peter Warne""]"
tt0025316,nm0001055,actress,"[""Ellie Andrews""]"
tt0025316,nm0175369,actor,"[""Alexander Andrews""]"
tt0025316,nm0439850,actor,"[""Oscar Shapeley""]"
tt0025316,nm0858977,actor,"[""King Westley""]"
tt0025316,nm0002118,actor,"[""Danker""]"
tt0025316,nm0398446,actor,"[""Zeke""]"
tt0025316,nm0002768,actress,"[""Zeke's Wife""]"
tt0025316,nm0933161,actor,"[""Joe Gordon""]"
tt0025316,nm0010958,actor,"[""The Bag Thief""]"
tt0025316,nm0001008,director,
tt0025316,nm0728307,writer,
tt0025316,nm0011343,writer,
tt0025316,nm0907900,cinematographer,
tt0025316,nm0369879,editor,
tt0027977,nm0000122,actor,"[""A Factory Worker""]"
tt0027977,nm0002104,actress,"[""A Gamin""]"
tt0027977,nm0074788,actor,"[""Cafe Proprietor""]"
tt0027977,nm0761866,actor,"[""Big Bill""]"
tt0027977,nm0174682,actor,"[""Mechanic""]"
tt0027977,nm0003424,actor,"[""Burglar""]"
tt0027977,nm0090008,actor,"[""Gamin's Father""]"
tt0027977,nm0305087,actor,"[""President of the Electro Steel Corp.""]"
tt0027977,nm0018685,actor,"[""Prison Cellmate""]"
tt0027977,nm0721637,actor,"[""Minister""]"
tt0027977,nm0000122,director,
tt0027977,nm0000122,writer,
tt0027977,nm0000122,composer,
tt0027977,nm0005806,cinematographer,
tt0027977,nm0005906,cinematographer,
tt0029583,nm0143314,actress,"[""Snow White""]"
tt0029583,nm0143314,actress,"[""Snow White""]"
tt0029583,nm0830968,actor,"[""Prince""]"
tt0029583,nm0830968,actor,"[""Prince""]"
tt0029583,nm0479164,actress,"[""The Evil Queen""]"
tt0029583,nm0479164,actress,"[""The Evil Queen""]"
tt0029583,nm0479164,actress,"[""The Witch""]"
tt0029583,nm0479164,actress,"[""The Witch""]"
tt0029583,nm0041165,actor,"[""Doc""]"
tt0029583,nm0041165,actor,"[""Doc""]"
tt0029583,nm0118081,actor,"[""Huntsman""]"
tt0029583,nm0118081,actor,"[""Huntsman""]"
tt0029583,nm0172287,actor,"[""Dopey""]"
tt0029583,nm0172287,actor,"[""Dopey""]"
tt0029583,nm0172287,actor,"[""Chipmunk and Squirrel Sneezes""]"
tt0029583,nm0172287,actor,"[""Chipmunk and Squirrel Sneezes""]"
tt0029583,nm0173416,actor,"[""Sleepy""]"
tt0029583,nm0173416,actor,"[""Sleepy""]"
tt0029583,nm0173416,actor,"[""Grumpy""]"
tt0029583,nm0173416,actor,"[""Grumpy""]"
tt0029583,nm0173416,actor,"[""Dopey (hiccups)""]"
tt0029583,nm0173416,actor,"[""Dopey (hiccups)""]"
tt0029583,nm0201428,actress,"[""Birds""]"
tt0029583,nm0201428,actress,"[""Birds""]"
tt0029583,nm0317970,actor,"[""Sneezy""]"
tt0029583,nm0317970,actor,"[""Sneezy""]"
tt0029583,nm0363227,actor,"[""Happy""]"
tt0029583,nm0363227,actor,"[""Happy""]"
tt0029583,nm0183183,director,
tt0029583,nm0359457,director,
tt0029583,nm0414144,director,
tt0029583,nm0604392,director,
tt0029583,nm0342278,writer,
tt0029583,nm0342303,writer,
tt0029583,nm0780799,writer,
tt0029583,nm0187232,writer,
tt0029583,nm0161430,composer,
tt0029583,nm0363316,composer,
tt0029583,nm1345229,composer,
tt0031381,nm0000022,actor,"[""Rhett Butler""]"
tt0031381,nm0000046,actress,"[""Scarlett""]"
tt0031381,nm0593775,actor,"[""Gerald O'Hara""]"
